Country,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents","Trademark applications, direct nonresident",Researchers in R&D (per million people),Technicians in R&D (per million people),"Trademark applications, direct resident",High-technology exports (current US$),High-technology exports (% of manufactured exports),"Population, total (millions)",Human Development Index (HDI),"Literacy rate, adult (% ages 15 and older)",Gross national income (GNI) per capita (2011 PPP$),Life expectancy at birth,Government expenditure on education (% of GDP),Population with at least some secondary education (% ages 25 and older)
India,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1976,17776013.3,111523.9269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1977,23026309.47,113459.9949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1978,13068415.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1979,13496502.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1980,12455736.62,0,0,0,1817,127,0,0,0,0,0,0,0,0,0,0,0,0,0
India,1981,15153361.08,111305.3895,0,0,1834,167,1185,0,0,13212,0,0,0,0,0,0,0,0,0
India,1982,38854328.11,625124.1753,0,0,1948,1128,2141,0,0,1255,0,0,0,0,0,0,0,0,0
India,1983,24571485.05,896690.4899,0,0,0,0,2821,0,0,1349,0,0,0,0,0,0,0,0,0
India,1984,22207099.13,173389.2016,0,0,2291,13,1612,0,0,14694,0,0,0,0,0,0,0,0,0
India,1985,25143719.35,165407.7301,0,0,2493,982,1725,0,0,14189,0,0,0,0,0,0,0,0,0
India,1986,24934650.13,397330.0379,0,0,2497,999,3645,0,0,14165,0,0,0,0,0,0,0,0,0
India,1987,40558650.91,771836.3135,0,0,252,988,3166,0,0,1561,0,0,0,0,0,0,0,0,0
India,1988,108393928.2,1032024.352,0,0,254,133,4523,0,0,1559,0,0,0,0,0,0,0,0,0
India,1989,127039845.2,1292412.288,0,0,26,148,1799,0,0,1747,0,0,0,0,0,0,0,0,0
India,1990,72465533.69,1323398.81,0,0,2673,1147,1968,0,0,18713,0,0,0,0.431,0,1882,57.9,0,0
India,1991,49565207.9,615524.7633,0,0,2328,1267,214,0,0,1998,0,0,0,0.436,0,1859,58.4,0,0
India,1992,68598351.54,731658.9889,0,0,2176,1248,254,0,0,2928,0,0,0,0.442,0,1922,58.9,0,0
India,1993,75336944.71,290980.4537,0,0,2511,129,2862,0,0,24623,0,0,0,0.449,0,1977,59.3,0,0
India,1994,93836422.84,446175.1355,0,0,3212,1588,3418,0,0,33679,0,0,0,0.456,0,2070,59.8,0,0
India,1995,90293739.53,1395550.263,0,0,521,1545,4614,0,0,3819,0,0,0,0.463,0,2188,60.3,0,0
India,1996,118039538.7,6899307.428,0.6395,0,691,1661,0,152.66,11.7741,0,0,0,0,0.471,0,2313,60.8,0,0
India,1997,150485539.5,12414145.52,0.68669,0,8229,1926,0,0,0,0,0,0,0,0.477,0,2364,61.2,0,0
India,1998,200807738.7,19303913.32,0.7379,0,677,2247,0,115.2819,98.73234,0,0,0,0,0.484,0,2465,61.7,0,0
India,1999,315298932.6,22883886.56,0.72413,0,262,226,5393,0,0,6337,0,0,0,0.492,0,2637,62.1,0,0
India,2000,282463092.3,82548708.77,0.75699,2177.72,6332,226,1713,19.7287,85.22344,67262,0,0,0,0.497,0,2683,62.5,0,0
India,2001,317035850.7,37156159.54,0.73591,22947.58,8213,2379,149,0,0,79746,0,0,0,0.502,0,2769,62.9,0,0
India,2002,345233067,20159947.94,0.72567,24853.47,8772,2693,593,0,0,8819,0,0,0,0.508,0,2832,63.3,0,0
India,2003,549887942.1,24088615.69,0.71929,27295.91,9188,3425,1545,0,0,7681,0,0,0,0.521,0,3002,63.7,0,0
India,2004,611481232.4,52796059.57,0.7569,29347.65,13452,414,159,0,0,6396,0,0,0,0.53,0,3189,64.1,0,0
India,2005,671829366.3,205974583.7,0.82411,33516.9,19661,4721,12361,134.91257,92.19858,7338,0,0,0,0.539,0,3387,64.5,0,0
India,2006,845949436,60913260.31,0.8473,38515.35,23242,5686,15211,0,0,8821,0,0,0,0.548,0,3602,64.9,0,0
India,2007,1159824391,163126496.6,0.857,43627.4,28922,6296,65,0,0,11714,0,0,0,0.558,0,3833,65.3,0,0
India,2008,1528826913,147815443.4,0.85876,48998.11,3387,6425,181,0,0,119371,0,0,0,0.565,0,3887,65.8,0,0
India,2009,1860070100,191939516.6,0.83314,54797.65,2725,7262,754,0,0,13443,11347424854,9.61838667,0,0.571,0,4134,66.2,0,0
India,2010,2438302981,127378163.3,0.78849,62436.88,399,8853,1786,156.21967,1.61565,17212,1778725729,7.6732466,1234.3,0.581,0,4403,66.7,3.4,42.1
India,2011,2819291079,302615975.5,0.7552,74142.9,3345,8841,22161,0,0,176386,1454626697,7.765255968,1250.3,0.59,63.9,4584,67.1,3.8,43.7
India,2012,3990055617,321445174,0.74399,8493.3,3442,9553,1487,0,0,17644,13927179245,7.42855457,1265.8,0.6,0,4760,67.5,3.9,45.4
India,2013,3903908830,445568319.5,0.7642,86348.11,32362,1669,19646,0,0,183172,17965366385,8.689127199,1280.8,0.607,0,5001,67.9,3.8,47.1
India,2014,4848711889,658722433,0.7159,96425.77,3814,124,23616,0,0,214,18344917155,9.9662579,1295.6,0.618,0,5315,68.3,0,48.7
India,2015,5009034407,466556838.1,0.6931,11813.8,3379,12579,24237,216.83,95.54919,25585,1461578664,7.9982432,1310.2,0.627,0,5674,68.6,0,48.7
India,2016,5466041710,524879155.1,0.67111,112167.34,31858,13199,31659,0,0,264662,143754797,7.64553185,1324.5,0.637,0,6075,68.9,0,50.4
India,2017,6515405394,659628261,0.66584,121631.31,31621,14961,23687,0,0,242482,1516128362,7.35225954,1338.7,0.643,0,6446,69.2,0,51.6
India,2018,7905957777,784900902.1,0.64998,135787.79,33766,16289,2622,252.7392,73.5997,29775,22739235,9.7948621,1352.6,0.647,0,6829,69.4,0,51.6
India,2019,7889685402,871605164.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1975,223000000,134000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1976,263000000,131000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1977,170000000,127000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1978,211000000,159000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1979,36000000,11000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1980,38000000,12000000,0,0,6228,2149,4279,0,0,42432,0,0,0,0,0,0,0,0,0
Brazil,1981,29000000,19000000,0,0,6113,2171,2995,0,0,29630,0,0,0,0,0,0,0,0,0
Brazil,1982,31000000,15000000,0,0,5562,2116,4117,0,0,27894,0,0,0,0,0,0,0,0,0
Brazil,1983,26000000,11000000,0,0,4900,2302,3492,0,0,24441,0,0,0,0,0,0,0,0,0
Brazil,1984,17000000,11000000,0,0,4657,2062,3135,0,0,28443,0,0,0,0,0,0,0,0,0
Brazil,1985,30000000,7000000,0,0,4565,1954,3691,0,0,49254,0,0,0,0,0,0,0,0,0
Brazil,1986,34000000,4000000,0,0,4413,1855,3971,0,0,72904,0,0,0,0,0,0,0,0,0
Brazil,1987,41000000,5000000,0,0,4702,2451,5119,0,0,99485,0,0,0,0,0,0,0,0,0
Brazil,1988,48000000,6000000,0,0,4546,2338,5137,0,0,76092,0,0,0,0,0,0,0,0,0
Brazil,1989,70000000,12000000,0,0,4657,2323,5337,0,0,63743,0,0,0,0,0,0,0,0,0
Brazil,1990,54000000,12000000,0,0,5148,2389,6111,0,0,57769,0,0,0,0.613,0,10082,66.3,0,0
Brazil,1991,53000000,13000000,0,0,4625,2319,6138,0,0,50621,0,0,0,0.62,0,10089,66.7,0,0
Brazil,1992,55000000,12000000,0,0,4374,2100,6627,0,0,41064,0,0,0,0.626,0,9905,67.1,0,0
Brazil,1993,121000000,34000000,0,0,4221,2429,7236,0,0,55257,0,0,0,0.634,0,10142,67.5,0,0
Brazil,1994,239000000,19000000,0,0,4228,2269,8599,0,0,48742,0,0,0,0.642,0,10368,67.9,0,0
Brazil,1995,529000000,32000000,0,0,4741,2707,11994,0,0,64822,0,0,0,0.651,0,10901,68.3,0,0
Brazil,1996,797000000,78000000,0,0,5446,2611,12910,0,0,56481,0,0,0,0.657,0,10835,68.7,0,0
Brazil,1997,887000000,97000000,0,0,13479,2756,0,0,0,0,0,0,0,0.664,0,10973,69.1,0,0
Brazil,1998,1075000000,142000000,0,0,13546,2491,17584,0,0,60511,0,0,0,0.67,0,10707,69.4,0,0
Brazil,1999,1283000000,133000000,0,0,14693,2816,17396,0,0,75882,0,0,0,0.675,0,10518,69.8,0,0
Brazil,2000,1414582000,125190000,1.04751,12783.45,14104,3179,21269,295.23457,335.9403,86960,0,0,0,0.684,0,11090,70.1,0,0
Brazil,2001,1244319000,112092000,1.06198,13944.64,14410,3439,16972,337.39902,324.4342,84643,0,0,0,0.691,0,11051,70.5,0,0
Brazil,2002,1228789000,100258000,1.00968,16148.98,13204,3481,13529,398.41199,313.34843,80782,0,0,0,0.698,0,11223,70.8,0,0
Brazil,2003,1227928000,108116000,0.99939,17585.44,12545,3866,13748,423.24525,371.29267,81832,0,0,0,0.694,0,11232,71.2,0,0
Brazil,2004,1196933000,114479000,0.96343,19814.08,12669,4044,13871,483.03027,450.26914,80169,0,0,0,0.697,0,11762,71.5,0,0
Brazil,2005,1404494000,101660000,1.00246,22304.02,14444,4054,16219,509.01507,497.05356,83099,0,0,0,0.7,0,12007,71.9,0,0
Brazil,2006,1663677000,150307000,0.98807,28348.73,15886,3956,18197,543.2361,526.26259,77645,0,0,0,0.701,0,12394,72.3,0,0
Brazil,2007,2259433000,319410000,1.08138,31059.14,17469,4194,20275,555.12941,566.52684,83944,0,0,0,0.705,0,13061,72.6,0,0
Brazil,2008,2697171000,465444000,1.12904,35489.96,18890,4280,22342,590.71388,606.16456,99570,10802230181,12.23199643,0,0.716,0,13547,73,0,0
Brazil,2009,2512044100,433807800,1.11866,38551.09,18135,4271,18450,625.52058,681.02727,94361,8469763734,14.15618296,0,0.718,0,13424,73.3,0,0
Brazil,2010,3225748879,189605958.5,1.15992,41666.17,20771,4228,23524,686.12491,754.57696,104168,8819040154,12.05234017,195.7,0.726,0,14194,73.6,5.6,50.5
Brazil,2011,3747622856,300800012.9,1.13966,44353.74,23954,4695,30028,737.71786,809.69231,122671,9155404859,10.57557748,197.5,0.73,91.4,14670,73.9,5.7,53.6
Brazil,2012,4198155186,276418446.3,1.12684,48282.01,25637,4798,31181,788.48979,863.93363,120530,9475997923,11.27277716,199.3,0.734,0,14892,74.2,5.9,54.6
Brazil,2013,4566857589,368127587.4,1.19567,50497.9,25925,4959,31092,838.47208,917.32864,132330,9070901211,10.4315303,201,0.752,0,15351,74.5,5.8,55.8
Brazil,2014,5922655347,375097938.4,1.27131,52632.41,25683,4659,29091,887.67844,969.90222,127925,8808980619,11.36344629,202.8,0.755,0,15177,74.7,5.9,57.5
Brazil,2015,5250459024,581080520.4,1.34264,53064.56,25578,4641,27989,0,0,130720,9447828534,13.13877132,204.5,0.755,0,14490,75,6.2,57.5
Brazil,2016,5140803656,650833689.7,1.26417,55181.31,22810,5200,28490,0,0,137878,10421108724,14.3371584,206.2,0.757,0,13907,75.2,0,59.2
Brazil,2017,5402128504,642157301.2,1.26326,58022.38,20178,5480,26911,0,0,159192,10756516887,13.31290322,207.8,0.76,0,13975,75.5,0,60
Brazil,2018,5124101633,825475487.4,0,60147.96,19877,4980,28356,0,0,176063,11096280497,12.95061345,209.5,0.761,0,14068,75.7,0,59.5
Brazil,2019,5344274732,641114074.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1982,0,0,0,0,0,0,1565,0,0,17000,0,0,0,0,0,0,0,0,0
China,1983,0,0,0,0,0,0,1687,0,0,19120,0,0,0,0,0,0,0,0,0
China,1984,0,0,0,0,0,0,3077,0,0,26487,0,0,0,0,0,0,0,0,0
China,1985,0,0,0,0,4493,4065,5798,0,0,43445,0,0,0,0,0,0,0,0,0
China,1986,0,0,0,0,4515,3494,5939,0,0,45031,0,0,0,0,0,0,0,0,0
China,1987,0,0,0,0,4084,3975,4055,0,0,40014,0,0,0,0,0,0,0,0,0
China,1988,0,0,0,0,4872,4780,5866,0,0,41683,0,0,0,0,0,0,0,0,0
China,1989,0,0,0,0,4910,4749,5535,0,0,43202,0,0,0,0,0,0,0,0,0
China,1990,0,0,0,0,4305,5832,6611,0,0,50853,0,0,0,0.501,0,1530,69.1,0,0
China,1991,0,0,0,0,4051,7372,8482,0,0,59124,0,0,0,0.509,0,1649,69.2,0,0
China,1992,0,0,0,0,4387,10022,10981,0,0,79837,0,0,0,0.52,0,1857,69.4,0,0
China,1993,0,0,0,0,7534,12084,24464,0,0,107758,0,0,0,0.53,0,2085,69.5,0,0
China,1994,0,0,0,0,7876,11191,24502,0,0,117186,0,0,0,0.537,0,2331,69.7,0,0
China,1995,0,0,0,0,8688,10011,26420,0,0,144610,0,0,0,0.549,0,2522,69.9,0,0
China,1996,0,0,0.56324,0,11114,11628,27353,437.82691,0,122057,0,0,0,0.558,0,2747,70.1,0,0
China,1997,543000000,55000000,0.63873,0,12102,12672,26900,466.48325,0,118578,0,0,0,0.566,0,2978,70.4,0,0
China,1998,420000000,63000000,0.64689,0,33645,13751,23855,381.68769,0,129395,0,0,0,0.574,0,3167,70.7,0,0
China,1999,792000000,75000000,0.74963,0,34418,15626,24077,414.43141,0,140620,0,0,0,0.583,0,3389,71.1,0,0
China,2000,1280970000,80348000,0.89316,53064.35,26560,25346,31054,538.57781,0,181717,0,0,0,0.591,0,3651,71.4,0,0
China,2001,1938000000,110000000,0.94033,70439.37,33412,30038,29634,571.71041,0,229783,0,0,0,0.599,0,3918,71.7,0,0
China,2002,3114004041,132822320.5,1.05786,74015.97,40426,39806,43295,619.97445,0,321041,0,0,0,0.61,0,4263,72.1,0,0
China,2003,3548126752,106978898.3,1.12037,86912,48548,56769,41013,655.44415,0,405628,0,0,0,0.622,0,4678,72.4,0,0
China,2004,4496604796,236359258.2,1.21498,120362.55,64598,65786,55143,700.0701,0,527605,0,0,0,0.631,0,5137,72.7,0,0
China,2005,5321253863,157401785.8,1.30792,165335.65,79842,93485,64213,840.6356,0,593390,0,0,0,0.643,0,5665,73,0,0
China,2006,6634081020,204503785.2,1.36854,189949.47,88183,122318,70061,914.33689,0,669279,0,0,0,0.657,0,6381,73.3,0,0
China,2007,8192067402,342634075,1.37369,215206.94,92101,153060,74956,1057.4944,0,604979,3.43E+11,30.17041252,0,0.67,0,7281,73.6,0,0
China,2008,10319466356,570536223.2,1.44592,249048.56,95259,194579,76480,1176.45974,0,590545,3.91E+11,29.38944623,0,0.681,0,7974,73.8,0,0
China,2009,11065271082,429452520,1.6648,286371.91,85508,229096,65121,846.55957,0,741785,3.59E+11,31.95166301,0,0.69,0,8613,74.1,0,0
China,2010,13039546459,830483814,1.71372,312516.81,98111,293066,83050,884.59337,0,973514,4.75E+11,32.14900252,1368.8,0.702,0,9458,74.4,0,65.3
China,2011,14706108691,743301698,1.78034,326770.84,110583,415829,112917,957.56503,0,1273859,5.40E+11,30.49905043,1376.5,0.711,95.1,10259,74.7,0,67.7
China,2012,17748983437,1044102041,1.91214,329015.38,117464,535313,115850,1014.31188,0,1502582,5.94E+11,30.8595247,1384.2,0.719,0,11090,75,0,70.2
China,2013,21033078371,886670295,1.99786,359274.07,120200,704936,114551,1066.20984,0,1733387,6.56E+11,31.58467467,1391.9,0.727,0,11823,75.3,0,72.6
China,2014,22613800782,676381923.7,2.02963,390396.24,127042,801135,107353,1089.19646,0,1997058,6.54E+11,29.69961988,1399.5,0.735,0,12742,75.6,0,75
China,2015,22022366055,1084600061,2.0656,407974.61,133612,968252,0,1150.81931,0,0,6.52E+11,30.42695677,1406.8,0.742,0,13485,75.9,0,75
China,2016,23979580208,1161195655,2.11831,438348.74,133522,1204981,0,1196.68794,0,0,5.95E+11,30.2499368,1414,0.749,0,14311,76.2,0,77.4
China,2017,28746479819,4803034260,2.14512,473438.51,135885,1245709,0,1224.7822,0,0,6.54E+11,30.88739648,1421,0.753,0,15212,76.5,0,77.4
China,2018,35782953953,5561288668,2.18568,528263.25,148187,1393815,0,1307.12128,0,0,7.32E+11,31.43780272,1427.6,0.758,0,16127,76.7,0,78.6
