Country,Year,"Charges for the use of intellectual property, payments (BoP, current US$)","Charges for the use of intellectual property, receipts (BoP, current US$)",Research and development expenditure (% of GDP),Scientific and technical journal articles,"Patent applications, nonresidents","Patent applications, residents","Trademark applications, direct nonresident",Researchers in R&D (per million people),Technicians in R&D (per million people),"Trademark applications, direct resident",High-technology exports (current US$),High-technology exports (% of manufactured exports),"Population, total (millions)",Human Development Index (HDI),"Literacy rate, adult (% ages 15 and older)",Gross national income (GNI) per capita (2011 PPP$),Life expectancy at birth,Government expenditure on education (% of GDP),Population with at least some secondary education (% ages 25 and older)
China,2019,34370466478,6604705952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1980,0,0,0,0,22699,1648,6113,0,0,9106,0,0,0,0,0,0,0,0,0
Canada,1981,595526016.7,37516792.82,0,0,23267,2164,6306,0,0,10556,0,0,0,0,0,0,0,0,0
Canada,1982,676790445.1,32395938.24,0,0,23883,2000,6630,0,0,9772,0,0,0,0,0,0,0,0,0
Canada,1983,718907414.1,41357116.89,0,0,23690,2017,7041,0,0,10415,0,0,0,0,0,0,0,0,0
Canada,1984,798410514,36279243,0,0,24709,2026,7648,0,0,12396,0,0,0,0,0,0,0,0,0
Canada,1985,797907068.6,49066742.82,0,0,25482,2092,8578,0,0,12894,0,0,0,0,0,0,0,0,0
Canada,1986,936850027.5,56335106.43,0,0,25596,2161,8556,0,0,12694,0,0,0,0,0,0,0,0,0
Canada,1987,980475172.1,70071810.36,0,0,26598,2527,7430,0,0,11837,0,0,0,0,0,0,0,0,0
Canada,1988,1303288288,105070212.9,0,0,28869,2772,9572,0,0,15262,0,0,0,0,0,0,0,0,0
Canada,1989,1446481740,122561166.7,0,0,32060,3031,11103,0,0,15181,0,0,0,0,0,0,0,0,0
Canada,1990,1663737469,234647916.1,0,0,24375,2549,11733,0,0,13948,0,0,0,0.85,0,30384,77.3,0,0
Canada,1991,1788570111,344305753.4,0,0,21097,2182,11260,0,0,12253,0,0,0,0.853,0,29469,77.5,0,0
Canada,1992,1712795353,445988895.5,0,0,22950,2807,11302,0,0,12573,0,0,0,0.856,0,29310,77.7,0,0
Canada,1993,1685650281,519221992.2,0,0,23307,3623,11869,0,0,13068,0,0,0,0.854,0,29820,77.8,0,0
Canada,1994,1763749602,607169306.5,0,0,24683,2480,13339,0,0,14391,0,0,0,0.859,0,30767,78,0,0
Canada,1995,1882422401,734308254.8,0,0,24161,2431,13766,0,0,14938,0,0,0,0.861,0,31302,78.2,0,0
Canada,1996,1950307887,877095726.7,1.61209,0,24987,2583,15446,3071.85016,1127.03531,17895,0,0,0,0.863,0,31510,78.3,0,0
Canada,1997,2287741106,1163006889,1.61921,0,25238,3344,14237,3132.90307,1107.84671,18519,0,0,0,0.863,0,32608,78.5,0,0
Canada,1998,2592204790,1532420478,1.71643,0,30163,3809,17201,3171.46654,1104.6539,18189,0,0,0,0.861,0,33524,78.7,0,0
Canada,1999,3212822610,1648658126,1.75587,0,33189,4061,19863,3255.43936,1118.78502,20502,0,0,0,0.864,0,34963,78.9,0,0
Canada,2000,3563235579,2323901618,1.86469,33854.39,35435,4187,24172,3527.48297,1240.66709,22080,0,0,0,0.868,0,36681,79.1,0,0
Canada,2001,3543578555,2532923682,2.02831,33374.29,35753,3963,21778,3708.21662,1312.82073,17314,0,0,0,0.872,0,36862,79.3,0,0
Canada,2002,4479912201,2575964576,1.97873,36153.2,35782,3959,19665,3719.25787,1367.61949,17068,0,0,0,0.877,0,37676,79.6,0,0
Canada,2003,5454962204,3005417256,1.97478,38040.42,33299,3929,20640,3913.5484,1463.09482,18072,0,0,0,0.882,0,38021,79.8,0,0
Canada,2004,6456200016,3183299993,2.00416,41974.14,32970,5231,22169,4098.00332,1621.85129,17719,0,0,0,0.887,0,38934,80,0,0
Canada,2005,6959129029,2873468639,1.97759,47256.69,34705,5183,23055,4250.05244,1642.34836,18777,0,0,0,0.892,0,39837,80.2,0,0
Canada,2006,7083070777,3359028698,1.94872,49158.88,36516,5522,25083,4323.08007,1761.07271,19949,0,0,0,0.895,0,40655,80.5,0,0
Canada,2007,8162785542,3835550664,1.90857,52152.72,35133,4998,26657,4595.39481,1982.64275,21101,30805025981,14.93062921,0,0.891,0,41136,80.7,0,0
Canada,2008,8923454841,4129666784,1.8604,53295.51,37028,5061,25579,4715.39105,1960.24685,20040,30538739415,15.43364601,0,0.893,0,41093,80.9,0,0
Canada,2009,8922065283,3604954463,1.92227,55378.23,32410,5067,22293,4451.47828,1789.24417,18663,26149995016,18.31684989,0,0.893,0,39347,81.1,0,0
Canada,2010,9731280814,2813939869,1.82958,56294.52,30899,4550,24771,4646.30508,1520.7527,20449,27247838004,15.97178676,34.1,0.895,0,39996,81.3,5.4,100
Canada,2011,10411408151,3348091955,1.79132,57594.93,30357,4754,27135,4780.08165,1555.04655,21337,28135169998,15.09923873,34.5,0.899,0,40880,81.5,5.3,100
Canada,2012,10901911781,3931432400,1.7766,59607.51,30533,4709,28369,4627.4515,1369.90891,21741,33776153653,16.00543186,34.9,0.906,0,41199,81.7,0,100
Canada,2013,11801326421,4569255358,1.70964,59902.46,30174,4567,28370,4623.11761,1378.32254,21449,32769499866,15.81899031,35.3,0.91,0,41818,81.8,0,100
Canada,2014,11712157364,4763593321,1.71824,60774.68,31283,4198,29681,4541.84807,1352.97622,21348,29530952353,15.08228443,35.7,0.914,0,42546,81.9,0,100
Canada,2015,10732654496,4087280234,1.69718,60533.24,32687,4277,29872,4523.09283,1455.58808,22589,28847379685,15.17479436,36,0.917,0,42567,82,0,100
Canada,2016,11567469044,4514595457,1.73019,60045,30667,4078,31013,4369.6299,1247.83745,23652,26796566317,14.46681227,36.4,0.92,0,42691,82.1,0,100
Canada,2017,11832283361,4880925496,1.67165,60214.84,30969,4053,33061,4325.64492,1268.37307,25853,27599664924,14.72234763,36.7,0.921,0,43496,82.2,0,100
Canada,2018,11807120207,5508143492,1.56625,59967.79,31812,4349,35738,0,0,27320,31036316910,15.75193115,37.1,0.922,0,43602,82.3,0,100
Canada,2019,11405841336,5388687771,0,0,0,0,0,0,0,0,32490788425,16.68743673,0,0,0,0,0,0,0
Australia,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1980,0,0,0,0,9354,6582,5570,0,0,7997,0,0,0,0,0,0,0,0,0
Australia,1981,0,0,0,0,9807,6341,6147,0,0,8782,0,0,0,0,0,0,0,0,0
Australia,1982,0,0,0,0,9572,6603,6056,0,0,9681,0,0,0,0,0,0,0,0,0
Australia,1983,0,0,0,0,9529,6930,5782,0,0,8036,0,0,0,0,0,0,0,0,0
Australia,1984,0,0,0,0,10212,7170,6164,0,0,9251,0,0,0,0,0,0,0,0,0
Australia,1985,0,0,0,0,0,0,7062,0,0,11397,0,0,0,0,0,0,0,0,0
Australia,1986,0,0,0,0,0,0,6830,0,0,12364,0,0,0,0,0,0,0,0,0
Australia,1987,0,0,0,0,0,0,7341,0,0,13809,0,0,0,0,0,0,0,0,0
Australia,1988,0,0,0,0,0,0,7185,0,0,15071,0,0,0,0,0,0,0,0,0
Australia,1989,808156157.1,170237056.7,0,0,0,0,9579,0,0,14242,0,0,0,0,0,0,0,0,0
Australia,1990,825954292.2,162330634.6,0,0,0,0,9189,0,0,12826,0,0,0,0.866,0,27679,76.9,0,0
Australia,1991,806995923.3,154230038.2,0,0,0,0,9186,0,0,12624,0,0,0,0.867,0,27203,77.2,0,0
Australia,1992,843695450.8,148081020.3,0,0,0,0,8604,0,0,14856,0,0,0,0.868,0,27159,77.5,0,0
Australia,1993,798613711.7,186941007.4,0,0,0,0,16087,0,0,10039,0,0,0,0.872,0,28112,77.8,0,0
Australia,1994,969759324.1,239301517.4,0,0,0,0,17567,0,0,12484,0,0,0,0.875,0,28942,78,0,0
Australia,1995,1001161631,261031141,0,0,12277,1784,17807,0,0,14575,0,0,0,0.883,0,29524,78.3,0,0
Australia,1996,1146884408,294468435.6,1.6665,0,13221,1797,10154,3355.86511,814.21598,14772,0,0,0,0.886,0,30234,78.5,0,0
Australia,1997,1196946821,358625655.8,0,0,15398,1760,10975,0,0,16022,0,0,0,0.889,0,31130,78.8,0,0
Australia,1998,1114256382,309259521.4,1.51645,0,16063,1862,11243,3382.17189,795.87794,18928,0,0,0,0.892,0,32284,79,0,0
Australia,1999,1267126378,381549793.1,0,0,17960,1858,12875,0,0,23858,0,0,0,0.895,0,33555,79.3,0,0
Australia,2000,1160197303,394187702.9,1.57558,23275.99,20073,1928,15589,3475.32527,819.47485,27301,0,0,0,0.898,0,34533,79.6,0,0
Australia,2001,1001186254,336750552.2,0,23618.28,20548,2187,12871,0,0,24970,0,0,0,0.9,0,34748,79.9,0,0
Australia,2002,1184791216,345584849.6,1.75161,24160.35,20181,2364,13156,3771.53817,961.32396,26439,0,0,0,0.903,0,35729,80.2,0,0
Australia,2003,1502670172,450714506.6,0,25337.6,19176,2418,13801,0,0,30401,0,0,0,0.904,0,36308,80.5,0,0
Australia,2004,1743966466,537973548.7,1.85456,27411.6,20274,2559,16507,4084.15159,885.3275,36773,0,0,0,0.907,0,37314,80.7,0,0
Australia,2005,1972287332,573756156.6,0,31348.58,21302,2555,17714,0,0,38192,0,0,0,0.902,0,37669,81,0,0
Australia,2006,2151687683,641546473.1,2.18552,33487.61,23166,2837,19041,4248.25649,1017.79166,40239,0,0,0,0.905,0,38060,81.2,0,0
Australia,2007,2809284035,713645961,0,36024.47,24122,2718,20312,0,0,40004,3880514289,12.05407808,0,0.908,0,39025,81.4,0,0
Australia,2008,3012858777,746149101.7,2.4037,37173.55,23525,2821,19450,4343.12653,1136.46069,38391,4487704547,12.76225137,0,0.922,0,39780,81.6,0,0
Australia,2009,2832316675,789823546.5,0,39121.67,21187,2494,17177,0,0,38472,3866842538,14.19153992,0,0.923,0,39939,81.8,0,0
Australia,2010,3423557729,978059795.2,2.37586,41687.77,22478,2409,19272,4532.40149,0,39641,4589861226,13.90687553,22.2,0.926,0,39982,81.9,5.6,93.2
Australia,2011,4110573493,948333508.2,2.23765,45026.57,23143,2383,20459,0,0,40154,5651820508,15.19796806,22.5,0.928,0,40281,82.1,5.1,93.6
Australia,2012,4165820497,859824156.7,0,46511.75,23731,2627,21578,0,0,41181,5488081110,14.67368856,22.9,0.932,0,41566,82.3,4.9,94.4
Australia,2013,3913990517,813652776.3,2.1787,50340.27,26656,3061,22055,0,0,39675,5367019937,15.17743511,23.3,0.926,0,42201,82.5,5.2,91.1
Australia,2014,3973566695,851550055.5,0,52666.28,23968,1988,22970,0,0,41682,5487641576,15.90671471,23.6,0.929,0,42594,82.6,5.2,91.5
Australia,2015,3526073729,783100619.9,1.91943,52945.01,26314,2291,23675,0,0,47085,5123915237,16.33994243,23.9,0.933,0,43246,82.8,5.3,91.5
Australia,2016,3318284382,820885409.2,0,53781.62,25774,2620,25266,0,0,47059,5406743775,17.48002781,24.3,0.935,0,43653,83,0,90
Australia,2017,3423494903,922957692.5,1.87372,53428.79,26403,2503,28262,0,0,46344,4837243928,16.39031414,24.6,0.937,0,43756,83.1,0,90
Australia,2018,3619620713,974141515.6,0,53610.22,27200,2757,30816,0,0,48282,5274079796,16.70831773,24.9,0.938,0,44097,83.3,0,90.4
Australia,2019,3494145299,965106184.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1970,220000000,2330000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1971,240000000,2550000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1972,300000000,2780000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1973,400000000,3230000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1974,360000000,3830000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1975,480000000,4310000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1976,500000000,4370000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1977,510000000,4920000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1978,670000000,5880000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1979,850000000,6190000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA,1980,730000000,7080000000,0,0,42231,62098,5537,0,0,41300,0,0,0,0,0,0,0,0,0
USA,1981,650000000,7280000000,0,0,44009,62404,6098,0,0,46411,0,0,0,0,0,0,0,0,0
USA,1982,800000000,5610000000,0,0,46309,63316,6184,0,0,57561,0,0,0,0,0,0,0,0,0
USA,1983,940000000,5780000000,0,0,44312,59391,7202,0,0,48343,0,0,0,0,0,0,0,0,0
USA,1984,1170000000,6180000000,0,0,49443,61841,8547,0,0,54053,0,0,0,0,0,0,0,0,0
USA,1985,1170000000,6680000000,0,0,51562,63673,11523,0,0,53577,0,0,0,0,0,0,0,0,0
USA,1986,1401000000,8114000000,0,0,55721,65195,12574,0,0,56679,0,0,0,0,0,0,0,0,0
USA,1987,1857000000,10174000000,0,0,63522,68315,12998,0,0,58294,0,0,0,0,0,0,0,0,0
USA,1988,2601000000,12147000000,0,0,68644,75192,14557,0,0,63788,0,0,0,0,0,0,0,0,0
USA,1989,2530000000,13820000000,0,0,76337,82370,17007,0,0,77394,0,0,0,0,0,0,0,0,0
USA,1990,3140000000,16640000000,0,0,80520,90643,20653,0,0,106693,0,0,0,0.86,0,37154,75.2,0,0
USA,1991,4040000000,17820000000,0,0,84160,87955,18268,0,0,105051,0,0,0,0.862,0,36597,75.4,0,0
USA,1992,5162000000,20841000000,0,0,90922,92425,17766,0,0,110071,0,0,0,0,0,37350,75.6,0,0
USA,1993,5032000000,21694000000,0,0,84241,99955,18622,0,0,131797,0,0,0,0.872,0,37867,75.7,0,0
USA,1994,5852000000,26712000000,0,0,95522,107233,21342,0,0,139713,0,0,0,0.875,0,38858,75.9,0,0
USA,1995,6919000000,30289000000,0,0,104180,123962,25063,0,0,163787,0,0,0,0.878,0,39449,76.1,0,0
USA,1996,7837000000,32470000000,2.45001,0,105054,106892,28585,3140.92456,0,183925,0,0,0,0.879,0,40470,76.2,0,0
USA,1997,9161000000,33228000000,2.47983,0,101282,119214,35657,3243.38158,0,198953,0,0,0,0,0,41718,76.4,0,0
USA,1998,11235000000,35626000000,2.50401,0,102246,134733,39182,3408.37276,0,207429,0,0,0,0.884,0,43049,76.5,0,0
USA,1999,13302000000,47731000000,2.54965,0,116512,149251,31040,3465.72038,0,229721,0,0,0,0.885,0,44612,76.7,0,0
USA,2000,16607000000,51807000000,2.62879,304781.56,131100,164795,41244,3496.36797,0,251220,0,0,0,0.881,0,45974,76.8,0,0
USA,2001,16661000000,49489000000,2.6483,305612.91,148958,177513,34598,3567.42616,0,181713,0,0,0,0.884,0,46032,77,0,0
USA,2002,19493000000,53859000000,2.55926,319307.62,150200,184245,30945,3652.18425,0,181693,0,0,0,0.886,0,46379,77.1,0,0
USA,2003,19259000000,56814000000,2.56455,329398.86,153500,188941,29834,3894.90127,0,191905,0,0,0,0.889,0,47343,77.3,0,0
USA,2004,23690000000,67093000000,2.50243,353853.49,167407,189536,36847,3789.08962,0,213519,0,0,0,0.892,0,48752,77.5,0,0
USA,2005,25577000000,74448000000,2.51697,384572.94,182866,207867,39377,3742.51961,0,224300,0,0,0,0.896,0,49980,77.7,0,0
USA,2006,25038000000,83550000000,2.55764,385515,204182,221784,42753,3806.33035,0,233357,0,0,0,0.899,0,50795,77.9,0,0
USA,2007,26479000000,97802000000,2.63161,391909.59,214807,241347,47030,3781.17475,0,256471,2.44E+11,30.51312664,0,0.902,0,51457,78.1,0,0
USA,2008,29623000000,1.02E+11,2.76791,393978.95,224733,231588,46463,3935.49275,0,246263,2.47E+11,28.97133129,0,0.907,0,51048,78.3,0,0
USA,2009,31297000000,98406000000,2.8127,399350.31,231194,224912,40898,4090.2744,0,225045,1.54E+11,25.00957984,0,0.908,0,49292,78.5,0,0
USA,2010,32551000000,1.08E+11,2.7354,408817.1,248249,241977,44598,3885.08226,0,236864,1.69E+11,23.11602909,309,0.911,0,50297,78.7,5.4,94.8
USA,2011,36088000000,1.23E+11,2.76525,423958.81,255832,247750,48368,4027.11889,0,256841,1.69E+11,21.06765866,311.6,0.914,0,50813,78.8,5.2,94.9
USA,2012,38660000000,1.24E+11,2.68166,427996.8,274033,268782,51366,3990.62379,0,261959,1.72E+11,20.65993207,314,0.916,0,51533,78.9,5.2,95
USA,2013,38860000000,1.28E+11,2.70972,429570.05,283781,287831,53115,4090.88439,0,270225,1.72E+11,20.65168465,316.4,0.914,0,52092,78.9,4.9,95.2
USA,2014,41983000000,1.30E+11,2.71924,433192.28,293706,285096,59286,4205.25602,0,283290,1.79E+11,20.99626735,318.7,0.915,0,52982,78.9,5,95.3
USA,2015,40609000000,1.25E+11,2.71742,429988.89,301075,288335,71743,4267.83919,0,303233,1.78E+11,21.94510512,320.9,0.917,0,54039,78.9,0,95.3
USA,2016,46987000000,1.24E+11,2.76145,427264.63,310244,295327,92691,4247.7483,0,300550,1.77E+11,23.01332375,323,0.919,0,54443,78.9,0,95.3
USA,2017,53440000000,1.27E+11,2.81741,432216.49,313052,293904,117713,4412.43542,0,330498,1.57E+11,19.69151286,325.1,0.919,0,55351,78.9,0,95.3
USA,2018,56117000000,1.29E+11,2.83766,422807.71,312046,285095,122636,0,0,342150,1.56E+11,18.89563539,327.1,0.92,0,56140,78.9,0,95.6
